Company	Product	Implemented	Accelerator
Zen Zoology	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Zen Zoology	Alteryx	True	TuneUp Your Alteryx
Zen Zoology	Basecamp	False	Jumpstart Your Basecamp
Zen Zoology	Constant Contact	False	Jumpstart Your Constant Contact
Zen Zoology	Freshdesk	True	TuneUp Your Freshdesk
Zen Zoology	Freshsales	False	Jumpstart Your Freshsales
Zen Zoology	Google Data Studio	True	TuneUp Your Google Data Studio
Zen Zoology	HappyFox	True	TuneUp Your HappyFox
Zen Zoology	Jira Service Management	True	TuneUp Your Jira Service Management
Zen Zoology	Monday.com	False	Jumpstart Your Monday.com
Zen Zoology	QlikView	True	TuneUp Your QlikView
Zen Zoology	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Zen Zoology	Sendinblue	False	Jumpstart Your Sendinblue
Zen Zoology	Tableau	True	TuneUp Your Tableau
Zen Zoology	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
PhiPhotography	ActiveCampaign	False	Jumpstart Your ActiveCampaign
PhiPhotography	Alteryx	True	TuneUp Your Alteryx
PhiPhotography	Basecamp	False	Jumpstart Your Basecamp
PhiPhotography	Constant Contact	False	Jumpstart Your Constant Contact
PhiPhotography	Freshdesk	True	TuneUp Your Freshdesk
PhiPhotography	Freshsales	False	Jumpstart Your Freshsales
PhiPhotography	Google Data Studio	True	TuneUp Your Google Data Studio
PhiPhotography	HappyFox	False	Jumpstart Your HappyFox
PhiPhotography	Jira Service Management	True	TuneUp Your Jira Service Management
PhiPhotography	Mailchimp	False	Jumpstart Your Mailchimp
PhiPhotography	Monday.com	False	Jumpstart Your Monday.com
PhiPhotography	QlikView	True	TuneUp Your QlikView
PhiPhotography	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
PhiPhotography	Sendinblue	False	Jumpstart Your Sendinblue
PhiPhotography	Tableau	True	TuneUp Your Tableau
PhiPhotography	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
JunoJewelry	ActiveCampaign	False	Jumpstart Your ActiveCampaign
JunoJewelry	Alteryx	True	TuneUp Your Alteryx
JunoJewelry	Constant Contact	False	Jumpstart Your Constant Contact
JunoJewelry	Freshsales	False	Jumpstart Your Freshsales
JunoJewelry	Google Data Studio	True	TuneUp Your Google Data Studio
JunoJewelry	Jira Service Management	True	TuneUp Your Jira Service Management
JunoJewelry	Monday.com	False	Jumpstart Your Monday.com
JunoJewelry	Power BI	True	TuneUp Your Power BI
JunoJewelry	QlikView	True	TuneUp Your QlikView
JunoJewelry	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
JunoJewelry	Sendinblue	False	Jumpstart Your Sendinblue
JunoJewelry	Tableau	True	TuneUp Your Tableau
JunoJewelry	Tibco Spotfire	True	TuneUp Your Tibco Spotfire
Novel Notions	ActiveCampaign	False	Jumpstart Your ActiveCampaign
Novel Notions	Alteryx	True	TuneUp Your Alteryx
Novel Notions	Constant Contact	False	Jumpstart Your Constant Contact
Novel Notions	Freshsales	False	Jumpstart Your Freshsales
Novel Notions	Google Data Studio	True	TuneUp Your Google Data Studio
Novel Notions	Jira	False	Jumpstart Your Jira
Novel Notions	Jira Service Management	True	TuneUp Your Jira Service Management
Novel Notions	Microsoft Dynamics 365	False	Jumpstart Your Microsoft Dynamics 365
Novel Notions	Monday.com	False	Jumpstart Your Monday.com
Novel Notions	Power BI	True	TuneUp Your Power BI
Novel Notions	QlikView	True	TuneUp Your QlikView
Novel Notions	Salesforce Service Cloud	True	TuneUp Your Salesforce Service Cloud
Novel Notions	Sendinblue	False	Jumpstart Your Sendinblue
