Company	Implemented	Product
Zen Zoology	FALSE	ActiveCampaign
PhiPhotography	FALSE	ActiveCampaign
JunoJewelry	FALSE	ActiveCampaign
Novel Notions	FALSE	ActiveCampaign
Fit For Life	FALSE	ActiveCampaign
GigaGadgets	FALSE	ActiveCampaign
Joyful Journeys	FALSE	ActiveCampaign
EpsilonEducation	FALSE	ActiveCampaign
TrendyTees	FALSE	ActiveCampaign
Harmonious Homes	FALSE	ActiveCampaign
EpsilonEco	FALSE	ActiveCampaign
EcoEase Solutions	FALSE	ActiveCampaign
Pet Palace	FALSE	ActiveCampaign
MegaMovies	FALSE	ActiveCampaign
MindMeld	FALSE	ActiveCampaign
Restful Retreats	FALSE	ActiveCampaign
NuNutrition	FALSE	ActiveCampaign
RadiantReads	FALSE	ActiveCampaign
AlphaAccessories	FALSE	ActiveCampaign
FitFam Fitness	FALSE	ActiveCampaign
Radiant Robotics	FALSE	ActiveCampaign
Savvy Savers	FALSE	ActiveCampaign
PhiFitness	FALSE	ActiveCampaign
BravoBites	FALSE	ActiveCampaign
IotaIceCream	FALSE	ActiveCampaign
NovelNotions	FALSE	ActiveCampaign
Luxurious Luggage	FALSE	ActiveCampaign
IotaImprov	FALSE	ActiveCampaign
VirtuosoViolins	FALSE	ActiveCampaign
LuxeLashes	FALSE	ActiveCampaign
RhoRamen	FALSE	ActiveCampaign
XtremeXercise	FALSE	ActiveCampaign
Vibrant Visions	FALSE	ActiveCampaign
RhoRings	FALSE	ActiveCampaign
FoxtrotFitness	FALSE	ActiveCampaign
Zen Zumba	FALSE	ActiveCampaign
FitFusion	FALSE	ActiveCampaign
Fashion Forward	FALSE	ActiveCampaign
AlphaArt	FALSE	ActiveCampaign
PremiumPens	FALSE	ActiveCampaign
Dynamic Drones	FALSE	ActiveCampaign
Vibrant Vases	FALSE	ActiveCampaign
NuNotebooks	FALSE	ActiveCampaign
ZenZenith	FALSE	ActiveCampaign
StyleSavvy	FALSE	ActiveCampaign
Natural Necessities	FALSE	ActiveCampaign
DeltaDesigns	FALSE	ActiveCampaign
Fashion Forward	TRUE	Alteryx
AlphaArt	TRUE	Alteryx
PremiumPens	TRUE	Alteryx
Dynamic Drones	TRUE	Alteryx
UpsilonUndergarments	TRUE	Alteryx
InspireInnovations	TRUE	Alteryx
FarmFresh	TRUE	Alteryx
Motivational Mentors	TRUE	Alteryx
QuantaCoffee	TRUE	Alteryx
WholesomeWhisk	TRUE	Alteryx
Fantastic Furnishings	TRUE	Alteryx
GammaGardening	TRUE	Alteryx
SkyHigh Adventures	TRUE	Alteryx
SmartSips	TRUE	Alteryx
Talented Tailors	TRUE	Alteryx
SigmaShoes	TRUE	Alteryx
YogaYonder	TRUE	Alteryx
Wise Words	TRUE	Alteryx
KappaKnitting	TRUE	Alteryx
WholesomeWatches	TRUE	Alteryx
MysticMoods	TRUE	Alteryx
FitFusion	TRUE	Alteryx
NuNotebooks	TRUE	Alteryx
ZenZenith	TRUE	Alteryx
StyleSavvy	TRUE	Alteryx
Natural Necessities	TRUE	Alteryx
DeltaDesigns	TRUE	Alteryx
SavvySocks	TRUE	Alteryx
Glamorous Gaming	TRUE	Alteryx
Smart Homes	TRUE	Alteryx
Artisan Oven	TRUE	Alteryx
ArtisanArmor	TRUE	Alteryx
Premier Printing	TRUE	Alteryx
LambdaLiterature	TRUE	Alteryx
PioneerPhones	TRUE	Alteryx
Trendy Totes	TRUE	Alteryx
Creative Coding	TRUE	Alteryx
BitzBooks	TRUE	Alteryx
GlowGuru	TRUE	Alteryx
Global Goods	TRUE	Alteryx
SigmaSweets	TRUE	Alteryx
GolfGenius	TRUE	Alteryx
BitzBooks	TRUE	Alteryx
Vibrant Vases	TRUE	Alteryx
PhiPhotography	TRUE	Alteryx
JunoJewelry	TRUE	Alteryx
Novel Notions	TRUE	Alteryx
Fit For Life	TRUE	Alteryx
GigaGadgets	TRUE	Alteryx
PetPalace	TRUE	Alteryx
Quality Quilts	TRUE	Alteryx
DeltaDrinks	TRUE	Alteryx
QuillQuotes	TRUE	Alteryx
Ultimate Universes	TRUE	Alteryx
Green Thumb Gardening	TRUE	Alteryx
TauTea	TRUE	Alteryx
ZenZone	TRUE	Alteryx
Xcellent Xeriscaping	TRUE	Alteryx
LambdaLanguages	TRUE	Alteryx
XpressoXpress	TRUE	Alteryx
Wise Watches	TRUE	Alteryx
XiXylophoneOrchestra	TRUE	Alteryx
BetaBeauty	TRUE	Alteryx
QuirkyQuilts	TRUE	Alteryx
Esteemed Education	TRUE	Alteryx
Zen Zoology	TRUE	Alteryx
EpsilonEducation	TRUE	Alteryx
TrendyTees	TRUE	Alteryx
Harmonious Homes	TRUE	Alteryx
EpsilonEco	TRUE	Alteryx
EcoEase Solutions	TRUE	Alteryx
Quality Quilting	TRUE	Alteryx
Mindful Meditation	TRUE	Alteryx
MuMusic	TRUE	Alteryx
AlphaApparel	TRUE	Alteryx
Youthful Yogis	TRUE	Alteryx
EtaEscapeRooms	TRUE	Alteryx
Virtuoso Virtual Assistants	TRUE	Alteryx
HomeHaven	TRUE	Alteryx
Healthy Habits	TRUE	Alteryx
TauTies	TRUE	Alteryx
HotelHaven	TRUE	Alteryx
Ace Athletics	TRUE	Alteryx
ChiCheese	TRUE	Alteryx
ZipZap Deliveries	TRUE	Alteryx
TechTonic	TRUE	Alteryx
Optimal Outcomes	TRUE	Alteryx
Joyful Journeys	TRUE	Alteryx
MindMeld	TRUE	Alteryx
Restful Retreats	TRUE	Alteryx
NuNutrition	TRUE	Alteryx
RadiantReads	TRUE	Alteryx
Knowledgeable Knits	TRUE	Alteryx
ThetaTheater	TRUE	Alteryx
UpsilonUnderwear	TRUE	Alteryx
KidKonnect	TRUE	Alteryx
Innovative Ideas	TRUE	Alteryx
OmicronOrganics	TRUE	Alteryx
TrendyTech	TRUE	Alteryx
Xceptional Xeroxing	TRUE	Alteryx
Brilliant Blooms	TRUE	Alteryx
GammaGames	TRUE	Alteryx
RadiantReady	TRUE	Alteryx
Knowledge Navigators	TRUE	Alteryx
ZetaZen	TRUE	Alteryx
KaleidoscopeKids	TRUE	Alteryx
Optimal Organics	TRUE	Alteryx
Artistic Expressions	TRUE	Alteryx
Pet Palace	TRUE	Alteryx
MegaMovies	TRUE	Alteryx
Radiant Robotics	TRUE	Alteryx
Savvy Savers	TRUE	Alteryx
PhiFitness	TRUE	Alteryx
BravoBites	TRUE	Alteryx
Ultimate University	TRUE	Alteryx
PiPizza	TRUE	Alteryx
UltimateUniversity	TRUE	Alteryx
Youthful Yarns	TRUE	Alteryx
Eco-Friendly Cleaning Solutions	TRUE	Alteryx
PsiSocks	TRUE	Alteryx
DeltaDecor	TRUE	Alteryx
Bountiful Books	TRUE	Alteryx
PsiPlants	TRUE	Alteryx
GigaBytes Tech	TRUE	Alteryx
GreenGlow	TRUE	Alteryx
Tech Titans	TRUE	Alteryx
NanoNails	TRUE	Alteryx
